1,ХљРђ27ФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Сж3Х\Б@ФNЧоБi5НќКKЛЙБjБCТjПЧХ РlМыБCСНФNЧоЛyВ—ХљЛѕФNЧо(КOНСРlБ\УЅМfБjБ|ТђТЪБEОЪУЩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) УъЦ{РlБEКOНСРlВћХ БuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) Ц≥НСР–ЛyВ—НСЦЉБuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,СНРФБiТjПЧХ Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ПЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ОsЛжТђСЇГRБ[Гh,ТђТЪОЪГRБ[Гh,ТnИжОѓХ Ф‘НЖ,ФйУљПИЧЭ,ФйУљРжПоХс,НЗОZТnИж,УsУєХ{МІЦЉ,ОsЛжТђСЇЦЉ,СеОЪБEТђЦЉ,ОЪБEТЪЦЏЦЉ,СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2)
1162,"44204","0480","2","","","","СеХ™МІ","УъУcОs","СеОЪРЉЧLУc","",1613,52,76,82,68,43,54,74,91,80,87,98,134,127,145,100,99,72,50,21,4,-,56,76057,49.3484264611,210,856,491,246,75,3,774,24,40,49,38,22,28,32,50,34,38,51,68,63,71,43,50,30,15,4,1,-,23,35268,47.4613848202,113,424,214,100,20,1,839,28,36,33,30,21,26,42,41,46,49,47,66,64,74,57,49,42,35,17,3,-,33,40789,51.1066997519,97,432,277,146,55,2
1163,"44204","0490","2","","","","СеХ™МІ","УъУcОs","СеОЪЧLУc","",1343,47,59,75,70,37,35,60,66,85,77,87,102,119,114,82,89,63,45,23,5,2,1,65746,49.4910581222,181,738,423,227,75,-,656,25,35,35,45,20,15,26,35,43,42,48,54,58,60,36,41,21,12,4,-,-,1,30197,46.6022900763,95,386,174,78,16,-,687,22,24,40,25,17,20,34,31,42,35,39,48,61,54,46,48,42,33,19,5,2,-,35549,52.2452692868,86,352,249,149,59,-
1164,"44204","0500","2","","","","СеХ™МІ","УъУcОs","СеОЪУМЧLУc","",1145,21,38,56,47,35,35,60,49,44,56,71,90,121,90,80,81,71,66,24,8,-,2,60627,53.5419947507,115,608,420,250,98,4,551,10,22,30,27,16,21,36,25,21,29,36,36,65,54,37,28,30,17,7,3,-,1,27491,50.4836363636,62,312,176,85,27,1,594,11,16,26,20,19,14,24,24,23,27,35,54,56,36,43,53,41,49,17,5,-,1,33136,56.3785834739,53,296,244,165,71,3
1165,"44204","0510","2","","","","СеХ™МІ","УъУcОs","СеОЪЙHУc","",604,12,12,18,27,5,10,25,30,27,16,33,38,68,74,49,48,42,41,24,3,-,2,34643,58.0465116279,42,279,281,158,68,1,289,5,6,13,12,2,4,17,14,15,6,19,20,31,41,20,27,16,12,8,-,-,1,15907,55.7326388889,24,140,124,63,20,-,315,7,6,5,15,3,6,8,16,12,10,14,18,37,33,29,21,26,29,16,3,-,1,18736,60.1687898089,18,139,157,95,48,1
1166,"44204","0520","2","","","","СеХ™МІ","УъУcОs","СеОЪПђЦм","",772,20,24,33,23,17,21,28,33,29,37,49,61,77,93,60,44,60,39,21,3,-,-,42226,55.1968911917,77,375,320,167,63,4,375,9,14,16,12,11,10,13,19,16,20,26,28,43,50,30,16,21,14,6,1,-,-,19664,52.9373333333,39,198,138,58,21,-,397,11,10,17,11,6,11,15,14,13,17,23,33,34,43,30,28,39,25,15,2,-,-,22562,57.3312342569,38,177,182,109,42,4
1167,"44204","0530","2","","","","СеХ™МІ","УъУcОs","СеОЪТяЙЌУа","",699,20,24,28,25,10,14,30,33,29,34,27,56,91,78,49,54,32,43,19,3,-,-,38154,55.0836909871,72,349,278,151,65,5,344,6,18,14,12,5,7,18,20,13,19,13,25,47,48,21,27,11,17,2,1,-,-,18031,52.9156976744,38,179,127,58,20,1,355,14,6,14,13,5,7,12,13,16,15,14,31,44,30,28,27,21,26,17,2,-,-,20123,57.1845070423,34,170,151,93,45,4
1168,"44204","0540","2","","","","СеХ™МІ","УъУcОs","СеОЪСеФм","",832,20,37,20,27,17,28,34,30,32,25,48,74,91,93,45,58,60,57,18,6,1,11,45319,55.6997563946,77,406,338,200,82,2,396,13,21,9,16,9,17,18,12,17,15,20,34,53,49,20,21,22,17,4,2,-,7,20093,52.1529562982,43,211,135,66,23,-,436,7,16,11,11,8,11,16,18,15,10,28,40,38,44,25,37,38,40,14,4,1,4,25226,58.8935185185,34,195,203,134,59,2
1169,"44204","0550","2","","","","СеХ™МІ","УъУcОs","СеОЪЦйЦЊ","",917,29,40,27,29,27,31,38,43,49,44,41,73,90,85,74,60,59,49,22,5,-,2,48594,53.6081967213,96,465,354,195,76,9,437,16,20,13,17,17,21,25,15,24,27,17,38,43,50,28,34,18,8,5,-,-,1,21499,49.8096330275,49,244,143,65,13,8,480,13,20,14,12,10,10,13,28,25,17,24,35,47,35,46,26,41,41,17,5,-,1,27095,57.0657620042,47,221,211,130,63,1
1170,"44204","0560","2","","","","СеХ™МІ","УъУcОs","СеОЪРќИд","",1601,44,66,87,60,45,35,45,90,91,73,75,97,131,155,122,108,109,73,52,25,3,15,84397,53.7137452711,197,742,647,370,153,4,728,20,35,46,30,25,19,27,44,42,35,34,51,73,62,60,48,40,17,9,3,-,8,35514,49.8250000000,101,380,239,117,29,1,873,24,31,41,30,20,16,18,46,49,38,41,46,58,93,62,60,69,56,43,22,3,7,48883,56.9468822171,96,362,408,253,124,3
1171,"44204","0570","2","","","","СеХ™МІ","УъУcОs","СеОЪПђОR","",235,7,6,4,13,6,6,4,13,6,8,16,22,19,33,16,14,24,13,2,3,-,-,13094,56.2191489362,17,113,105,56,18,-,116,4,3,2,5,5,3,2,7,6,3,9,15,10,17,9,3,8,5,-,-,-,-,6081,52.9224137931,9,65,42,16,5,-,119,3,3,2,8,1,3,2,6,-,5,7,7,9,16,7,11,16,8,2,3,-,-,7013,59.4327731092,8,48,63,40,13,-
1172,"44204","0580","2","","","","СеХ™МІ","УъУcОs","СеОЪУаЙЌЦм","",422,11,16,18,16,10,16,12,19,23,19,29,34,40,51,25,33,27,17,5,-,1,-,22187,53.0758293839,45,218,159,83,23,-,196,5,8,8,7,5,7,6,12,14,5,19,15,17,24,16,11,8,7,1,-,1,-,9992,51.4795918367,21,107,68,28,9,-,226,6,8,10,9,5,9,6,7,9,14,10,19,23,27,9,22,19,10,4,-,-,-,12195,54.4601769912,24,111,91,55,14,-
1173,"44204","0590","2","","","","СеХ™МІ","УъУcОs","СеОЪУ∞Фц","",160,1,1,4,4,3,5,2,5,5,6,6,19,21,16,18,12,11,13,8,-,-,-,9840,62.0000000000,6,76,78,44,21,-,75,1,-,2,3,2,2,-,3,3,3,1,10,13,7,10,7,2,4,2,-,-,-,4419,59.4200000000,3,40,32,15,6,-,85,-,1,2,1,1,3,2,2,2,3,5,9,8,9,8,5,9,9,6,-,-,-,5421,64.2764705882,3,36,46,29,15,-
1174,"44204","0600","2","","","","СеХ™МІ","УъУcОs","СеОЪРмЙЇ","",110,3,-,1,3,2,3,4,3,3,3,11,10,9,14,4,7,12,12,4,1,-,1,6636,61.3807339450,4,51,54,36,17,-,53,1,-,1,2,1,2,3,2,2,3,5,5,6,5,3,2,3,4,2,-,-,1,2908,56.4230769231,2,31,19,11,6,-,57,2,-,-,1,1,1,1,1,1,-,6,5,3,9,1,5,9,8,2,1,-,-,3728,65.9035087719,2,20,35,25,11,-
1175,"44204","0610","2","","","","СеХ™МІ","УъУcОs","СеОЪТ|Уc","",137,4,5,3,2,8,2,12,5,4,8,14,5,7,6,6,15,20,7,4,-,-,-,7500,55.2445255474,12,67,58,46,11,14,59,2,3,2,1,2,-,4,2,1,4,9,3,3,3,5,3,8,1,3,-,-,-,3175,54.3135593220,7,29,23,15,4,-,78,2,2,1,1,6,2,8,3,3,4,5,2,4,3,1,12,12,6,1,-,-,-,4325,55.9487179487,5,38,35,31,7,14
1176,"44204","0620","2","","","","СеХ™МІ","УъУcОs","УVР£ТђПЧОqФ®","",593,16,18,19,15,9,14,30,20,25,20,29,51,63,48,45,31,52,39,30,16,3,-,34370,58.4595278246,53,276,264,171,88,1,254,8,10,7,10,7,6,10,11,15,12,12,24,34,20,21,17,13,9,5,2,1,-,13493,53.6220472441,25,141,88,47,17,-,339,8,8,12,5,2,8,20,9,10,8,17,27,29,28,24,14,39,30,25,14,2,-,20877,62.0840707965,28,135,176,124,71,1
1177,"44204","0630","2","","","","СеХ™МІ","УъУcОs","УVР£ТђНЗУc","",529,22,13,24,22,11,19,16,27,23,29,23,40,48,54,39,48,44,18,8,1,-,-,27916,53.2712665406,59,258,212,119,27,-,250,15,9,15,14,4,6,11,17,11,17,13,20,19,21,17,16,17,7,1,-,-,-,11913,48.1520000000,39,132,79,41,8,-,279,7,4,9,8,7,13,5,10,12,12,10,20,29,33,22,32,27,11,7,1,-,-,16003,57.8584229391,20,126,133,78,19,-
1178,"44204","0640","2","","","","СеХ™МІ","УъУcОs","УVР£ТђУТОR","",199,2,5,4,4,5,7,5,9,3,6,15,19,25,24,18,15,17,12,4,-,-,-,11639,58.9874371859,11,98,90,48,16,1,100,2,4,3,1,3,5,4,4,1,4,8,9,12,13,11,4,7,4,1,-,-,-,5455,55.0500000000,9,51,40,16,5,1,99,-,1,1,3,2,2,1,5,2,2,7,10,13,11,7,11,10,8,3,-,-,-,6184,62.9646464646,2,47,50,32,11,-
1179,"44204","0650","2","","","","СеХ™МІ","УъУcОs","УVР£ТђНчТ|","",479,5,4,10,15,15,16,5,16,19,18,24,33,51,31,40,46,42,47,23,14,5,-,29845,62.8068893528,19,212,248,177,89,1,204,4,1,6,9,10,6,1,9,8,9,9,18,26,14,18,20,14,11,9,1,1,-,11730,58.0000000000,11,105,88,56,22,-,275,1,3,4,6,5,10,4,7,11,9,15,15,25,17,22,26,28,36,14,13,4,-,18115,66.3727272727,8,107,160,121,67,1
1180,"44204","0660","2","","","","СеХ™МІ","УъУcОs","УVР£ТђР‘Кв","",358,4,7,11,12,8,14,14,13,21,21,18,33,34,42,29,27,27,15,7,1,-,-,19919,56.1396648045,22,188,148,77,23,1,190,4,2,8,10,7,10,10,7,9,14,11,16,17,22,9,12,14,5,3,-,-,-,9767,51.9052631579,14,111,65,34,8,1,168,-,5,3,2,1,4,4,6,12,7,7,17,17,20,20,15,13,10,4,1,-,-,10152,60.9285714286,8,77,83,43,15,-
1181,"44204","0670","2","","","","СеХ™МІ","УъУcОs","УVР£ТђФnМі","",922,18,28,28,37,20,34,36,38,27,64,62,72,98,95,78,73,66,31,12,4,1,-,49989,54.7180043384,74,488,360,187,48,2,435,6,16,12,19,7,16,16,21,13,33,28,33,56,52,34,30,27,9,4,2,1,-,23254,53.9574712644,34,242,159,73,16,1,487,12,12,16,18,13,18,20,17,14,31,34,39,42,43,44,43,39,22,8,2,-,-,26735,55.3973305955,40,246,201,114,32,1
1182,"44204","0680","2","","","","СеХ™МІ","УъУcОs","УVР£ТђПoМы","",538,15,27,27,9,8,9,17,20,35,32,24,39,51,49,41,36,55,31,9,4,-,-,29446,55.2323420074,69,244,225,135,44,3,265,9,14,10,5,4,3,11,6,17,23,13,20,30,19,19,17,25,15,5,-,-,-,14299,54.4584905660,33,132,100,62,20,1,273,6,13,17,4,4,6,6,14,18,9,11,19,21,30,22,19,30,16,4,4,-,-,15147,55.9835164835,36,112,125,73,24,2
1183,"44204","0690","2","","","","СеХ™МІ","УъУcОs","УVР£ТђТЋУc","",295,3,5,12,10,10,7,6,7,16,12,20,28,37,31,18,19,21,20,10,3,-,-,16904,57.8016949153,20,153,122,73,33,-,141,1,2,5,6,5,3,4,5,7,6,9,13,22,17,10,6,8,6,5,1,-,-,7892,56.4716312057,8,80,53,26,12,-,154,2,3,7,4,5,4,2,2,9,6,11,15,15,14,8,13,13,14,5,2,-,-,9012,59.0194805195,12,73,69,47,21,-
1184,"44204","0700","2","","","","СеХ™МІ","УъУcОs","УVР£ТђЦ{Пй","",279,4,9,11,8,8,3,6,10,10,13,19,28,35,30,22,21,18,19,5,-,-,-,15725,56.8620071685,24,140,115,63,24,-,132,3,2,5,5,5,2,2,3,6,10,8,14,22,12,11,10,5,6,1,-,-,-,7184,54.9242424242,10,77,45,22,7,-,147,1,7,6,3,3,1,4,7,4,3,11,14,13,18,11,11,13,13,4,-,-,-,8541,58.6020408163,14,63,70,41,17,-
1185,"44204","0710","2","","","","СеХ™МІ","УъУcОs","УVР£ТђМ№ФnОs","",539,6,9,19,17,15,12,14,15,25,26,27,48,62,64,51,45,47,26,9,2,-,-,31100,58.1994434137,34,261,244,129,37,-,264,3,1,10,7,7,9,9,6,14,13,14,29,28,29,27,24,21,9,4,-,-,-,15098,57.6893939394,14,136,114,58,13,-,275,3,8,9,10,8,3,5,9,11,13,13,19,34,35,24,21,26,17,5,2,-,-,16002,58.6890909091,20,125,130,71,24,-
1186,"44204","0720","2","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","",1120,30,43,46,38,30,35,41,49,38,62,72,90,103,91,69,78,90,64,37,12,2,-,60843,54.8241071429,119,558,443,283,115,5,513,14,24,28,18,13,17,19,25,19,29,40,45,53,50,31,32,28,21,5,2,-,-,26048,51.2758284600,66,278,169,88,28,2,607,16,19,18,20,17,18,22,24,19,33,32,45,50,41,38,46,62,43,32,10,2,-,34795,57.8228995058,53,280,274,195,87,3
1187,"44204","072001","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪНВОж",112,-,1,-,-,1,1,1,2,1,1,5,-,3,5,4,10,20,26,20,9,2,-,8910,80.0535714286,1,15,96,87,57,-,24,-,-,-,-,-,1,-,-,-,-,4,-,1,3,1,3,4,3,3,1,-,-,1757,73.7083333333,-,6,18,14,7,-,88,-,1,-,-,1,-,1,2,1,1,1,-,2,2,3,7,16,23,17,8,2,-,7153,81.7840909091,1,9,78,73,50,-
1188,"44204","072002","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪРзПд",106,-,2,8,5,4,4,2,8,3,5,8,8,10,9,7,8,6,6,3,-,-,-,5605,53.3773584906,10,57,39,23,9,-,56,-,2,7,3,2,3,-,4,-,2,5,4,3,6,3,4,4,2,2,-,-,-,2791,50.3392857143,9,26,21,12,4,-,50,-,-,1,2,2,1,2,4,3,3,3,4,7,3,4,4,2,4,1,-,-,-,2814,56.7800000000,1,31,18,11,5,-
1189,"44204","072003","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪУ`ЧҐ",106,2,11,6,7,5,7,8,4,4,8,6,8,10,10,2,1,5,2,-,-,-,-,4388,41.8962264151,19,67,20,8,2,-,53,1,8,3,4,1,4,4,3,2,3,3,4,5,5,1,1,-,1,-,-,-,-,2027,38.7452830189,12,33,8,2,1,-,53,1,3,3,3,4,3,4,1,2,5,3,4,5,5,1,-,5,1,-,-,-,-,2361,45.0471698113,7,34,12,6,1,-
1190,"44204","072004","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪОRНџ",41,-,-,-,-,2,2,3,2,2,3,3,6,2,5,4,3,1,2,1,-,-,-,2313,56.9146341463,-,25,16,7,3,-,18,-,-,-,-,2,-,2,1,2,1,-,3,-,2,3,1,-,1,-,-,-,-,959,53.7777777778,-,11,7,2,1,-,23,-,-,-,-,-,2,1,1,-,2,3,3,2,3,1,2,1,1,1,-,-,-,1354,59.3695652174,-,14,9,5,2,-
1191,"44204","072005","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪУVО±Сд",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1192,"44204","072006","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪУМТё",67,2,3,1,1,1,3,3,-,3,3,10,7,5,4,3,4,8,5,1,-,-,-,3731,56.1865671642,6,36,25,18,6,-,34,2,-,-,1,1,2,-,-,2,2,6,4,3,2,1,1,4,3,-,-,-,-,1875,55.6470588235,2,21,11,8,3,-,33,-,3,1,-,-,1,3,-,1,1,4,3,2,2,2,3,4,2,1,-,-,-,1856,56.7424242424,4,15,14,10,3,-
1193,"44204","072007","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪС±ЦЎ",72,1,1,4,4,1,1,7,2,2,3,4,7,13,5,5,4,5,-,3,-,-,-,3797,53.2361111111,6,44,22,12,3,1,34,1,-,2,2,-,-,4,2,-,2,3,2,6,3,4,2,1,-,-,-,-,-,1726,51.2647058824,3,21,10,3,-,1,38,-,1,2,2,1,1,3,-,2,1,1,5,7,2,1,2,4,-,3,-,-,-,2071,55.0000000000,3,23,12,9,3,-
1194,"44204","072008","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪУМР№",85,6,6,1,6,3,5,2,3,4,5,6,6,6,7,9,6,1,2,1,-,-,-,3911,46.5117647059,13,46,26,10,3,1,40,3,3,1,2,1,2,1,2,1,3,2,3,5,4,5,2,-,-,-,-,-,-,1819,45.9750000000,7,22,11,2,-,-,45,3,3,-,4,2,3,1,1,3,2,4,3,1,3,4,4,1,2,1,-,-,-,2092,46.9888888889,6,24,15,8,3,1
1195,"44204","072009","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪЙ‘Хљ",97,8,6,4,1,1,2,4,8,1,5,1,9,15,6,3,5,13,3,2,-,-,-,4905,51.0670103093,18,47,32,23,5,-,49,4,4,1,1,-,-,3,5,1,2,1,3,10,4,2,2,4,2,-,-,-,-,2390,49.2755102041,9,26,14,8,2,-,48,4,2,3,-,1,2,1,3,-,3,-,6,5,2,1,3,9,1,2,-,-,-,2515,52.8958333333,9,21,18,15,3,-
1196,"44204","072010","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪТЖК‘",150,2,9,11,2,5,6,2,5,9,12,13,13,6,11,9,15,11,7,-,2,-,-,7740,52.1000000000,22,73,55,35,9,-,65,1,5,7,-,1,4,-,1,5,7,4,9,3,5,1,7,2,2,-,1,-,-,3133,48.7000000000,13,34,18,12,3,-,85,1,4,4,2,4,2,2,4,4,5,9,4,3,6,8,8,9,5,-,1,-,-,4607,54.7000000000,9,39,37,23,6,-
1197,"44204","072011","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪПMМЋ",89,3,2,3,1,2,1,4,9,3,4,6,5,11,11,8,5,6,4,1,-,-,-,4820,54.6573033708,8,46,35,16,5,3,45,-,1,3,-,2,-,1,4,2,3,4,2,6,6,4,2,1,4,-,-,-,-,2466,55.3000000000,4,24,17,7,4,1,44,3,1,-,1,-,1,3,5,1,1,2,3,5,5,4,3,5,-,1,-,-,-,2354,54.0000000000,4,22,18,9,1,2
1198,"44204","072012","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪР£М√",85,2,-,1,8,3,2,3,-,4,8,4,14,9,4,7,4,8,4,-,-,-,-,4550,54.0294117647,3,55,27,16,4,-,44,-,-,-,3,2,1,3,-,3,2,3,7,6,-,5,2,5,2,-,-,-,-,2443,56.0227272727,-,30,14,9,2,-,41,2,-,1,5,1,1,-,-,1,6,1,7,3,4,2,2,3,2,-,-,-,-,2107,51.8902439024,3,25,13,7,2,-
1199,"44204","072013","3","","","","СеХ™МІ","УъУcОs","СеОRТђУМСеОR","ОЪПђМ№Фn",110,4,2,7,3,2,1,2,6,2,5,6,7,13,14,8,13,6,3,5,1,-,-,6173,56.6181818182,13,47,50,28,9,-,51,2,1,4,2,1,-,1,3,1,2,5,4,5,10,1,5,3,1,-,-,-,-,2662,52.6960784314,7,24,20,9,1,-,59,2,1,3,1,1,1,1,3,1,3,1,3,8,4,7,8,3,2,5,1,-,-,3511,60.0084745763,6,23,30,19,8,-
1200,"44204","0730","2","","","","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","",1636,43,50,61,66,42,29,50,62,72,93,121,133,168,165,131,139,112,63,32,4,-,-,88729,54.7353300733,154,836,646,350,99,3,788,22,26,34,31,22,19,23,33,36,46,57,73,88,81,65,54,49,16,11,2,-,-,41228,52.8197969543,82,428,278,132,29,-,848,21,24,27,35,20,10,27,29,36,47,64,60,80,84,66,85,63,47,21,2,-,-,47501,56.5153301887,72,408,368,218,70,3
1201,"44204","073001","3","","","","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","ОЪТЖРмМі",187,1,4,8,7,5,1,7,9,6,13,12,10,21,25,20,16,12,8,1,1,-,-,10515,56.7299465241,13,91,83,38,10,-,99,1,3,5,4,2,1,5,6,4,8,5,5,10,12,12,8,6,1,-,1,-,-,5255,53.5808080808,9,50,40,16,2,-,88,-,1,3,3,3,-,2,3,2,5,7,5,11,13,8,8,6,7,1,-,-,-,5260,60.2727272727,4,41,43,22,8,-
1202,"44204","073002","3","","","","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","ОЪТЖСеОR",128,3,3,4,8,4,5,5,6,6,7,10,11,12,14,7,9,10,4,-,-,-,-,6577,51.8828125000,10,74,44,23,4,-,59,-,2,4,2,3,2,2,2,5,5,4,3,5,8,3,3,5,1,-,-,-,-,2958,50.6355932203,6,33,20,9,1,-,69,3,1,-,6,1,3,3,4,1,2,6,8,7,6,4,6,5,3,-,-,-,-,3619,52.9492753623,4,41,24,14,3,-
1203,"44204","073003","3","","","","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","ОЪПђХљ",76,3,2,3,3,1,1,2,3,2,8,5,9,4,6,10,7,4,1,1,1,-,-,4091,54.3289473684,8,38,30,14,3,-,35,-,1,1,1,1,1,1,1,1,3,2,6,3,3,5,3,1,-,1,-,-,-,1953,56.3000000000,2,20,13,5,1,-,41,3,1,2,2,-,-,1,2,1,5,3,3,1,3,5,4,3,1,-,1,-,-,2138,52.6463414634,6,18,17,9,2,-
1204,"44204","073004","3","","","","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","ОЪХ–Р£М√",92,-,2,1,2,6,1,3,5,2,3,9,8,7,9,8,13,9,2,2,-,-,-,5361,58.7717391304,3,46,43,26,4,-,42,-,-,-,2,2,1,3,2,2,1,3,5,2,6,2,5,4,-,2,-,-,-,2419,58.0952380952,-,23,19,11,2,-,50,-,2,1,-,4,-,-,3,-,2,6,3,5,3,6,8,5,2,-,-,-,-,2942,59.3400000000,3,23,24,15,2,-
1205,"44204","073005","3","","","","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","ОЪЙЇРмМі",65,2,3,2,1,3,1,3,4,2,1,5,1,9,10,7,9,-,1,1,-,-,-,3463,53.7769230769,7,30,28,11,2,-,31,1,1,-,1,2,1,-,3,1,-,2,1,4,6,3,5,-,-,-,-,-,-,1669,54.3387096774,2,15,14,5,-,-,34,1,2,2,-,1,-,3,1,1,1,3,-,5,4,4,4,-,1,1,-,-,-,1794,53.2647058824,5,15,14,6,2,-
1206,"44204","073006","3","","","","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","ОЪЦЬБXЛа",28,-,-,-,-,1,-,-,1,-,-,2,5,3,4,2,2,4,3,1,-,-,-,1876,67.5000000000,-,12,16,10,4,-,11,-,-,-,-,-,-,-,-,-,-,-,4,2,2,1,1,1,-,-,-,-,-,717,65.6818181818,-,6,5,2,-,-,17,-,-,-,-,1,-,-,1,-,-,2,1,1,2,1,1,3,3,1,-,-,-,1159,68.6764705882,-,6,11,8,4,-
1207,"44204","073007","3","НЗОZТnИжВ†Ви","","073009","СеХ™МІ","УъУcОs","СеОRТђРЉСеОR","ОЪЦ»С≈",119,12,5,3,3,4,2,9,7,6,1,7,11,13,12,8,6,3,6,1,-,-,-,5632,47.8277310924,20,63,36,16,7,1,55,6,2,1,-,2,2,2,5,3,1,4,4,8,6,4,2,1,2,-,-,-,-,2578,47.3727272727,9,31,15,5,2,-,64,6,3,2,3,2,-,7,2,3,-,3,7,5,6,4,4,2,4,1,-,-,-,3054,48.2187500000,11,32,21,11,5,1
